file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,co2_mean,h2o_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,anemometer_diagnostic_mean,_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--
2024-05-01T000000_OTL.ghg,2024-05-01,00:30,122.021,0,36000,36000,-0.323484E-01,1,0.486575E-02,-13.2221,0,2.54214,-0.233383,2,0.299982,5.39260,0,0.554140,-0.527293E-02,2,0.677765E-02,-0.342921,0.322313,0.479934E-01,0.728217E-02,-0.525550E-10,-0.186268E-11,17.5002,427.879,434.468,0.150000,0,620.252,15.1651,15.3987,0.200000,0,293.097,291.693,99239.1,1.17853,1013.78,0.245550E-01,-0.341686E-03,0.111291E-01,1498.13,2128.07,0.944327E-02,70.3986,629.938,286.165,0.718947,1.22131,-0.677818E-02,1.41722,-0.806430E-12,-0.300311E-14,1.41722,4.20713,270.950,59.5160,-0.274030,-9999,0.165675,1.04071,29.8659,0.582604E-01,56.6543,-0.667974E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.319183E-01,1.01348,-12.9282,1.02865,-0.195445,1.19411,4.51600,1.19411,-0.441578E-02,1.19411,800000099,800000099,800000099,800000099,800010099,800010099,800010199,800010199,80000,80000,89,89,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,100,0.652413,1.36649,0.625250E-01,0.116324,5.13163,0.140522E-02,-0.108207E-01,0.112590,-0.110091E-03,17.5015,620.297,427.879,15.1651,12.8330,101.404,101.433,101.376,0.574887E-01,0.00000,128.346
2024-05-01T003000_OTL.ghg,2024-05-01,01:00,122.042,0,36000,36000,-0.427610E-01,0,0.603303E-02,-12.7059,0,3.41352,-0.276521,2,2.16955,5.06632,0,1.27215,-0.624814E-02,2,0.490221E-01,0.123013,-0.427638,-0.306096,-0.966269E-02,0.651178E-11,0.231209E-12,17.1875,420.964,427.351,0.100000,0,610.264,14.9468,15.1736,0.200000,0,293.170,291.785,99084.8,1.17642,1013.66,0.245993E-01,-0.404880E-03,0.109492E-01,1474.37,2140.50,0.930722E-02,68.8798,666.127,285.921,1.25068,-0.434193,-0.100658E-02,1.32390,0.155559E-12,0.378867E-15,1.32390,5.56590,346.748,340.855,-0.435626E-01,-9999,0.190653,0.515137,47.3075,0.367806E-01,45.9491,-0.558867E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.422357E-01,1.01244,-12.4548,1.02623,-0.234793,1.17772,4.30179,1.17772,-0.530528E-02,1.17772,800000099,800000099,800000099,800000099,800000099,800110099,800000199,800010199,80000,80000,89,89,16,14,15,16,1,0,0,0,0,0,0,0,0,0,0,100,0.517949,0.433298,0.790256E-01,0.126951,14.6428,0.540437E-01,-0.104444E-01,0.107420,-0.132478E-03,17.1888,610.309,420.963,14.9468,12.5861,101.417,101.447,101.387,0.592614E-01,0.00000,129.175
2024-05-01T010000_OTL.ghg,2024-05-01,01:30,122.062,0,36000,36000,-0.103185,2,0.177634E-01,-17.8368,0,6.88320,-4.77573,2,3.12062,2.64688,1,0.631889,-0.107920,2,0.705183E-01,0.120898,-0.488291,-0.169283E-01,-0.110342E-01,-0.209598E-09,-0.732464E-11,17.1671,420.581,426.855,0.150000,0,599.923,14.6976,14.9169,0.200000,0,293.239,291.877,99131.7,1.17672,1013.52,0.245934E-01,-0.699319E-02,0.107692E-01,1450.59,2152.78,0.915191E-02,67.3822,702.188,285.673,0.582066E-01,1.74823,0.204928E-02,1.74920,0.113992E-12,-0.122093E-13,1.74920,6.80574,250.124,88.0931,0.671250E-01,-9999,0.296124,1.86949,126.310,0.137757E-01,3.73490,-0.505056E-01,0,27.7402,-4.20968,9.52231,23.7119,36.1621,50.7179,75.9846,-0.102010,1.01152,-17.7368,1.02498,-4.08193,1.16997,2.26235,1.16997,-0.922415E-01,1.16997,800000099,800000099,800000099,800000099,800000099,800000099,800110199,800110199,80000,80000,89,89,9,21,3,0,0,0,0,0,0,0,0,0,0,0,0,100,3.25445,0.394966,0.895625E-01,0.751396,7.26313,0.493444E-01,-0.148720E-01,0.564651E-01,-0.230222E-02,17.1684,599.969,420.581,14.6976,12.3377,101.426,101.457,101.394,0.625857E-01,0.00000,129.563
2024-05-01T013000_OTL.ghg,2024-05-01,02:00,122.083,0,36000,36000,-0.480163E-01,0,0.499822E-02,-17.3333,0,2.18878,-0.738643,2,1.65727,4.24674,0,0.432259,-0.166820E-01,2,0.374288E-01,-0.783580,0.610273E-01,0.181431,0.137828E-02,-0.634351E-10,-0.220011E-11,17.3348,424.669,431.017,0.150000,0,601.219,14.7287,14.9489,0.200000,0,292.649,291.287,99176.9,1.17962,1013.53,0.245328E-01,-0.108099E-02,0.108186E-01,1454.30,2074.64,0.917126E-02,70.0991,620.335,285.712,0.689605,1.58405,0.212351E-02,1.72765,0.457325E-14,-0.365941E-14,1.72765,4.29120,263.440,66.4745,0.704239E-01,-9999,0.201755,0.485680,41.1210,0.423141E-01,23.4664,-0.718586E-01,0,23.8846,-3.62457,8.19879,20.4162,31.1359,43.6686,65.4235,-0.474024E-01,1.01295,-16.9787,1.02801,-0.620655,1.19010,3.56838,1.19010,-0.140173E-01,1.19010,800000099,800000099,800000099,800000099,800010099,800010099,800000199,800010199,80000,80000,89,89,16,5,2,24,3,0,0,0,0,0,0,0,0,0,0,100,0.395249,0.515760,0.603523E-01,0.851426E-01,2.96360,0.160048E-01,-0.142012E-01,0.888451E-01,-0.349000E-03,17.3361,601.265,424.669,14.7287,12.3765,101.427,101.458,101.396,0.624327E-01,0.00000,129.216
2024-05-01T020000_OTL.ghg,2024-05-01,02:30,122.104,0,36000,36000,-0.985731E-02,1,0.242664E-02,-4.66932,0,0.862564,0.336715,0,0.473703,2.27160,0,0.330304,0.759957E-02,0,0.106914E-01,-0.912409,-0.217085,0.117161,-0.489956E-02,-0.941826E-11,-0.322211E-12,17.4265,427.302,433.641,0.150000,0,596.183,14.6186,14.8355,0.200000,0,291.951,290.602,99199.0,1.18271,1013.46,0.244688E-01,0.492452E-03,0.107658E-01,1443.80,1987.03,0.910264E-02,72.6615,543.223,285.602,-0.566800E-01,0.675763,-0.206590E-02,0.678139,0.155784E-13,-0.540456E-15,0.678139,2.16208,235.943,94.7945,-0.174547,-9999,0.912934E-01,0.220548,14.1447,0.123014,-13.8673,-0.426706E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.969435E-02,1.01681,-4.52106,1.03372,0.275811,1.22082,1.86072,1.22082,0.622498E-02,1.22082,800000099,800000099,800000099,800000099,800001099,800101099,801110199,811110199,80000,80000,89,89,8,1,6,1,12,1,0,0,0,0,0,0,0,0,0,100,0.279760,0.149942,0.113947E-01,0.401245E-01,6.21814,0.391627E-02,-0.377187E-02,0.462021E-01,0.154567E-03,17.4278,596.228,427.302,14.6186,12.2658,101.431,101.464,101.398,0.660077E-01,0.00000,127.496
2024-05-01T023000_OTL.ghg,2024-05-01,03:00,122.125,0,36000,36000,-0.727791E-02,2,0.224524E-02,-7.13987,0,2.24949,-1.14073,0,0.523480,4.20574,1,1.39378,-0.257281E-01,0,0.118066E-01,-0.963401,-0.678370,0.490883,-0.153000E-01,0.167359E-10,0.545064E-12,17.8762,438.316,444.663,0.500000E-01,0,582.201,14.2753,14.4820,0.350000,0,291.193,289.879,99093.8,1.18456,1013.25,0.244312E-01,-0.166718E-02,0.105292E-01,1408.56,1898.20,0.888871E-02,74.2050,489.639,285.226,0.595913,-0.422101,0.130131E-02,0.730263,0.177366E-12,0.936213E-15,0.730263,3.17898,355.474,324.689,0.102099,-9999,0.783837E-01,0.642414,5.84996,0.297438,6.25902,-0.758915E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.710883E-02,1.02378,-6.89208,1.04876,-0.865175,1.31850,3.18979,1.31850,-0.195132E-01,1.31850,800000099,800000099,800000099,800000099,800100099,801100099,810100199,811110199,80000,80000,89,89,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,100,0.984431,0.286527,0.138707E-01,0.219210,65.1299,0.122605E-01,-0.574222E-02,0.790541E-01,-0.483606E-03,17.8776,582.245,438.316,14.2753,11.8892,101.443,101.476,101.409,0.670162E-01,0.00000,127.182
2024-05-01T030000_OTL.ghg,2024-05-01,03:30,122.146,0,36000,36000,-0.175851E-01,1,0.393685E-02,-8.02818,1,1.45701,-5.05893,1,1.66698,3.02296,1,0.617904,-0.114059,1,0.375838E-01,-0.490377,-0.738002,-0.223879,-0.166390E-01,0.275780E-10,0.884833E-12,17.6969,433.296,439.405,0.100000,0,567.801,13.9022,14.0982,0.600000,0,290.790,289.512,99029.3,1.18545,1013.03,0.244133E-01,-0.739100E-02,0.102616E-01,1371.02,1854.38,0.865624E-02,73.9342,483.358,284.816,0.331541,-0.245919,0.710751E-02,0.412851,-0.120731E-12,0.155835E-14,0.412851,2.71790,355.365,323.434,0.986435,-9999,0.121795,0.265107,19.5077,0.891956E-01,1.58693,-0.548883E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.172871E-01,1.01724,-8.07290,1.03186,-4.21030,1.20156,2.51586,1.20156,-0.949256E-01,1.20156,800000099,800000099,800000099,800000099,800000099,800100099,810110199,810110199,80000,80000,89,89,1,0,8,13,11,2,0,0,0,0,0,0,0,0,0,100,0.453598,0.668011E-01,0.981560E-02,0.811937E-01,12.6539,0.363371E-01,-0.672236E-02,0.622827E-01,-0.234998E-02,17.6982,567.848,433.296,13.9023,11.4790,101.449,101.483,101.416,0.664326E-01,0.00000,126.899
2024-05-01T033000_OTL.ghg,2024-05-01,04:00,122.167,0,36000,36000,-0.111344E-01,1,0.153553E-02,-1.71585,2,0.540008,1.68518,2,1.21026,1.72324,1,0.666262,0.379766E-01,2,0.272740E-01,-0.644584,-0.905631,0.335292,-0.204089E-01,0.613826E-10,0.187232E-11,18.0143,440.800,446.808,0.150000,0,549.480,13.4455,13.6287,0.200000,0,290.263,289.029,99026.1,1.18760,1012.77,0.243699E-01,0.246088E-02,0.994210E-02,1326.12,1798.21,0.837162E-02,73.7469,472.085,284.313,-0.488603,-0.122653,0.160986E-01,0.504019,0.733458E-13,0.340744E-14,0.504019,4.11350,128.459,194.092,1.83036,-9999,0.968276E-01,0.580741,45.8565,0.379444E-01,-1.01820,-0.147334E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.109756E-01,1.01447,-1.59090,1.02623,1.44358,1.16736,1.47618,1.16736,0.325319E-01,1.16736,800000099,800000099,800000099,800000099,800100099,800100099,811100199,811100199,80000,80000,89,89,15,1,9,14,19,4,0,0,0,0,0,0,0,0,0,100,0.226970,0.928417,0.609439E-02,0.288423,55.6194,0.613206E-01,-0.132271E-02,0.364627E-01,0.803558E-03,18.0157,549.514,440.799,13.4455,10.9746,101.460,101.495,101.424,0.703236E-01,0.00000,126.102
2024-05-01T040000_OTL.ghg,2024-05-01,04:30,122.187,0,36000,36000,-0.919037E-02,1,0.118887E-02,-9.81572,1,1.59044,-3.79582,1,0.697997,3.03107,1,0.489918,-0.855188E-01,1,0.157257E-01,-0.363929,-0.141143,-0.123386,-0.317991E-02,-0.271099E-10,-0.827725E-12,17.9403,438.043,443.981,0.300000,0,547.756,13.3744,13.5557,0.650000,0,289.984,288.757,99063.4,1.18919,1012.73,0.243372E-01,-0.554162E-02,0.990282E-02,1319.64,1767.18,0.832733E-02,74.6748,447.542,284.240,-0.644730,0.521612,-0.490825E-02,0.829326,-0.244119E-12,-0.151112E-14,0.829326,2.65779,185.443,141.026,-0.339099,-9999,0.879104E-01,0.239782,6.00057,0.289973,2.58593,-0.927122E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.897918E-02,1.02352,-9.57775,1.04846,-2.87901,1.31845,2.29897,1.31845,-0.648633E-01,1.31845,800000099,800000099,800000099,800000099,800100099,800110099,811110199,811110199,80000,80000,89,89,10,0,4,3,4,0,0,0,0,0,0,0,0,0,0,100,0.115158,0.354874,0.953142E-02,0.196061,17.3826,0.155177E-01,-0.795280E-02,0.567058E-01,-0.159990E-02,17.9416,547.796,438.043,13.3744,10.9017,101.454,101.487,101.420,0.673878E-01,0.00000,125.518
2024-05-01T043000_OTL.ghg,2024-05-01,05:00,122.208,0,36000,36000,0.720138E-02,1,0.174023E-03,-2.68567,1,0.533078,-1.00043,1,0.483209,0.631665,1,0.200333,-0.225290E-01,1,0.108816E-01,-0.636005,-0.368746,0.520070,-0.830394E-02,-0.409123E-10,-0.120005E-11,18.4283,449.647,455.656,0.300000,0,540.544,13.1891,13.3654,0.650000,0,289.490,288.283,99062.6,1.19122,1012.62,0.242960E-01,-0.145988E-02,0.978220E-02,1301.43,1714.18,0.821188E-02,75.9212,412.753,284.030,-0.592134,0.225256,-0.356843E-02,0.633542,-0.177490E-12,-0.222008E-14,0.633542,2.04231,174.986,159.172,-0.322721,-9999,0.777519E-01,0.288629,15.1723,0.114682,2.68453,-0.286355E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.708284E-02,1.01674,-2.66019,1.03328,-0.822014,1.21704,0.519016,1.21704,-0.185113E-01,1.21704,800000099,800000099,800000099,800000099,800000099,810111199,811110199,811110199,80000,80000,89,89,32,2,37,5,3,0,0,0,0,0,0,0,0,0,0,100,0.922240E-01,0.481912,0.312196E-02,0.820502E-01,28.4233,0.226509E-01,-0.220534E-02,0.127779E-01,-0.455737E-03,18.4297,540.585,449.646,13.1891,10.6921,101.453,101.486,101.419,0.677109E-01,0.00000,124.805
2024-05-01T050000_OTL.ghg,2024-05-01,05:30,122.229,1,36000,36000,-0.286013E-02,1,0.401004E-03,-1.93201,0,0.380774,-1.19657,1,0.295515,2.51364,1,0.406988,-0.269466E-01,1,0.665496E-02,0.268143E-01,0.478583E-01,0.403149,0.107776E-02,-0.376454E-10,-0.108453E-11,18.8022,458.644,464.786,0.150000,0,541.677,13.2132,13.3901,0.400000,0,289.513,288.303,99045.5,1.19093,1012.62,0.243020E-01,-0.174614E-02,0.979759E-02,1303.56,1716.38,0.822687E-02,75.9483,412.820,284.055,-0.251791,-0.912041,0.124477E-01,0.946241,0.995736E-13,-0.200218E-14,0.946241,2.22856,80.6290,254.567,0.753740,-9999,0.490061E-01,0.115102,5.28033,0.329525,1.61463,-0.326909E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.278968E-02,1.02525,-1.89811,1.05221,-0.890043,1.34440,1.86972,1.34440,-0.200436E-01,1.34440,800000099,800000099,800000099,800000099,800100099,800110099,811110199,811110199,80000,80000,89,89,161,12,219,26,3,0,0,0,0,0,0,0,0,0,0,100,0.107800,0.118602,0.380113E-02,0.110425,67.8780,0.188774E-01,-0.157394E-02,0.460441E-01,-0.493598E-03,18.8037,541.717,458.644,13.2132,10.7168,101.446,101.479,101.413,0.664150E-01,0.00000,126.098
2024-05-01T053000_OTL.ghg,2024-05-01,06:00,122.250,1,36000,36000,-0.283003E-02,1,0.178197E-03,-3.74368,0,0.606724,-1.44156,1,0.319650,0.799625,1,0.306522,-0.324716E-01,1,0.720022E-02,0.338294,0.420536,-0.267362,0.947271E-02,0.148734E-10,0.441100E-12,18.5434,452.670,458.830,0.200000,0,549.940,13.4248,13.6075,0.500000,0,289.786,288.556,99026.4,1.18956,1012.74,0.243297E-01,-0.210416E-02,0.994323E-02,1324.10,1744.46,0.835875E-02,75.9032,420.359,284.290,-0.783156E-01,-0.912356,0.544161E-02,0.915727,-0.282504E-13,0.802088E-15,0.915727,1.93355,64.8504,265.094,0.340476,-9999,0.487755E-01,0.855160E-01,2.68649,0.647686,2.59697,-0.637104E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.272851E-02,1.03721,-3.55260,1.07608,-0.962358,1.49794,0.533815,1.49794,-0.216774E-01,1.49794,800100099,800000099,800000099,800000099,800101099,800111099,811110199,811110199,80000,80000,89,89,348,29,365,27,8,0,0,0,0,0,0,0,0,0,0,100,0.921335E-01,0.751319E-01,0.376652E-02,0.172463,61.5003,0.183418E-01,-0.294889E-02,0.131635E-01,-0.534553E-03,18.5450,549.975,452.671,13.4248,10.9517,101.440,101.471,101.408,0.632086E-01,0.00000,125.513
2024-05-01T060000_OTL.ghg,2024-05-01,06:30,122.271,1,36000,36000,-0.131062E-01,0,0.110461E-02,-4.36769,0,0.749084,-0.170259,1,0.504261,-2.76319,0,0.421582,-0.383448E-02,1,0.113567E-01,-0.242997,0.842387,-0.686860,0.189717E-01,-0.209834E-10,-0.664476E-12,17.8508,437.326,443.467,0.250000,0,565.276,13.8487,14.0432,0.550000,0,289.642,288.374,98990.9,1.18969,1012.98,0.243263E-01,-0.248474E-03,0.102585E-01,1365.23,1724.21,0.862286E-02,79.1801,358.979,284.752,-0.696386,-0.938077,0.120033E-01,1.16837,0.176918E-12,-0.117549E-14,1.16837,2.47771,95.8719,233.411,0.588643,-9999,0.104960,0.979791E-01,22.9409,0.758469E-01,25.6532,-0.345300E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.129224E-01,1.01422,-4.26882,1.02977,-0.141822,1.20051,-2.30167,1.20051,-0.319403E-02,1.20051,800000099,800000099,800000099,800000099,800010099,800010199,801010199,801010199,80000,80000,89,89,123,98,102,28,5,0,0,0,0,0,0,0,0,0,0,100,0.108302,0.725543E-01,0.151020E-01,0.617423E-01,18.7992,0.102042E-01,-0.354220E-02,-0.567742E-01,-0.787857E-04,17.8522,565.312,437.327,13.8486,11.4153,101.439,101.472,101.406,0.658666E-01,0.00000,126.919
2024-05-01T063000_OTL.ghg,2024-05-01,07:00,122.292,1,36000,36000,-0.320532E-01,0,0.237835E-02,-8.31524,0,1.01569,1.64215,1,0.660732,-4.24893,0,0.724401,0.369885E-01,1,0.148826E-01,0.186058,0.346784,-0.226518,0.781111E-02,-0.909732E-11,-0.295133E-12,17.6410,432.261,438.409,0.250000,0,572.304,14.0233,14.2228,0.500000,0,289.798,288.513,98970.6,1.18880,1013.08,0.243444E-01,0.239685E-02,0.103802E-01,1382.09,1739.66,0.873168E-02,79.4457,357.575,284.938,-1.04339,-1.08117,0.184295E-01,1.50264,0.472549E-13,-0.515692E-15,1.50264,3.24097,105.306,226.019,0.702739,-9999,0.164203,0.167783,46.1339,0.377163E-01,-5.06363,-0.420475E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.316569E-01,1.01252,-8.05005,1.02674,1.38977,1.18160,-3.59592,1.18160,0.313037E-01,1.18160,800000099,800000099,800000099,800000099,800010099,800010099,800010199,801110199,80000,80000,89,89,15,5,1,50,0,0,0,0,0,0,0,0,0,0,0,100,0.172216,0.128180,0.351690E-01,0.359455E-01,15.8601,0.581966E-02,-0.668417E-02,-0.887804E-01,0.772862E-03,17.6424,572.343,432.262,14.0233,11.6021,101.432,101.464,101.400,0.641720E-01,0.00000,128.227
2024-05-01T070000_OTL.ghg,2024-05-01,07:30,122.312,1,36000,36000,-0.239025E-01,0,0.201135E-02,-2.62905,1,1.28692,4.67540,1,1.52334,-8.04229,0,0.650117,0.105347,1,0.343239E-01,0.474815,0.829640,-0.390673,0.186935E-01,-0.136307E-09,-0.464805E-11,17.2398,423.515,429.721,0.250000,0,587.876,14.4418,14.6535,0.550000,0,290.193,288.869,98964.1,1.18707,1013.32,0.243792E-01,0.682646E-02,0.106747E-01,1423.05,1779.70,0.899250E-02,79.9603,356.645,285.381,-1.01551,-1.10376,0.107580E-01,1.49989,-0.151956E-13,-0.790651E-14,1.49989,3.14010,104.058,227.385,0.410961,-9999,0.141900,0.178751,94.1703,0.184772E-01,-0.562316,-0.154026E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.236303E-01,1.01152,-2.33277,1.02456,4.00622,1.16703,-6.89122,1.16703,0.902685E-01,1.16703,800000099,800000099,800000099,800000099,800000099,800000099,800010199,800010199,80000,80000,89,89,2,4,1,5,0,0,0,0,0,0,0,0,0,0,0,100,0.147756,0.178536,0.312116E-01,0.479277E-01,15.8462,0.393463E-01,-0.193932E-02,-0.170454,0.223278E-02,17.2412,587.907,423.515,14.4417,12.0440,101.423,101.455,101.392,0.635648E-01,0.00000,127.391
2024-05-01T073000_OTL.ghg,2024-05-01,08:00,122.333,1,36000,36000,-0.343644E-01,0,0.313158E-02,7.30253,1,1.83360,36.4052,0,3.47162,-15.1573,0,1.21095,0.820992,0,0.782904E-01,1.19222,0.597515,-0.330793,0.134749E-01,0.195526E-09,0.692873E-11,16.8426,416.084,422.311,0.200000,0,596.841,14.7445,14.9652,0.450000,0,291.120,289.763,98954.3,1.18316,1013.50,0.244595E-01,0.532003E-01,0.108627E-01,1452.59,1884.21,0.918113E-02,77.0927,431.622,285.694,-0.780074,-1.34084,0.674835E-02,1.55126,-0.109278E-12,0.116090E-13,1.55126,3.45745,91.9988,239.810,0.249251,-9999,0.170425,0.175406,-58.7344,-0.296249E-01,0.200590,0.357333E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.339665E-01,1.01171,9.13818,1.02274,31.9740,1.13859,-13.3124,1.13859,0.721062,1.13859,800000099,800000099,800000099,800000099,800000099,800000099,800010099,800010199,80000,80000,89,89,4,2,0,3,3,0,0,0,0,0,0,0,0,0,0,100,0.194149,0.119312,0.373517E-01,0.107816,30.1711,0.867674E-01,0.762065E-02,-0.330465,0.178996E-01,16.8442,596.881,416.086,14.7444,12.3540,101.424,101.457,101.391,0.650386E-01,0.00000,125.892
2024-05-01T080000_OTL.ghg,2024-05-01,08:30,122.354,1,36000,36000,-0.558513E-01,0,0.437817E-02,7.12598,0,0.876595,47.1300,0,3.82273,-18.5008,0,1.04954,1.06353,0,0.862629E-01,0.872742,-0.100224,-0.294920,-0.226164E-02,-0.332259E-11,-0.119238E-12,16.5228,409.439,415.545,0.200000,0,592.956,14.6936,14.9127,0.400000,0,291.775,290.420,98878.5,1.17960,1013.49,0.245334E-01,0.689166E-01,0.107926E-01,1446.49,1964.37,0.914937E-02,73.6359,517.889,285.630,-0.452228,-1.85922,0.100662E-01,1.91346,0.579791E-13,-0.201091E-15,1.91346,4.19629,74.9123,256.329,0.301421,-9999,0.217595,0.310508,-125.208,-0.138969E-01,0.151198,0.273932E-01,0,25.5364,-3.87525,8.76583,21.8282,33.2893,46.6888,69.9483,-0.552124E-01,1.01157,9.53283,1.02358,41.1980,1.14399,-16.1722,1.14399,0.929666,1.14399,800000099,800000099,800000099,800000099,800000099,800000099,800010099,800010099,80000,80000,89,89,11,7,3,1,2,0,0,0,0,0,0,0,0,0,0,100,0.310110,0.251431,0.594740E-01,0.146914E-01,18.0325,0.897679E-01,0.797387E-02,-0.402648,0.231464E-01,16.5241,592.991,409.441,14.6934,12.2885,101.426,101.459,101.393,0.654988E-01,0.00000,128.808
